"Category","ProgramName","DocType","Time","FileName","SourcePath"
"조직문화개선","조직28 소통 강화를 위한 퍼실리테이션 워크샵","DetailAgenda","6H","조직문화개선_조직28 소통 강화를 위한 퍼실리테이션 워크샵_DetailAgenda_6H.txt","조직문화개선/조직문화개선_조직28 소통 강화를 위한 퍼실리테이션 워크샵_DetailAgenda_6H.txt"
"조직문화개선","조직28 소통 강화를 위한 퍼실리테이션 워크숍","진행자료","","조직문화개선_조직28 소통 강화를 위한 퍼실리테이션 워크숍_진행자료.txt","조직문화개선/조직문화개선_조직28 소통 강화를 위한 퍼실리테이션 워크숍_진행자료.txt"
"조직문화개선","조직33 조직문화 개선 워크숍","DetailAgenda","4H","조직문화개선_조직33 조직문화 개선 워크숍_DetailAgenda_4H.txt","조직문화개선/조직문화개선_조직33 조직문화 개선 워크숍_DetailAgenda_4H.txt"
"조직문화개선","조직34 일하는 문화 개선 워크숍","DetailAgenda","4H","조직문화개선_조직34 일하는 문화 개선 워크숍_DetailAgenda_4H.txt","조직문화개선/조직문화개선_조직34 일하는 문화 개선 워크숍_DetailAgenda_4H.txt"
"조직문화개선","조직34 일하는 문화 개선 워크숍","진행자료","4H","조직문화개선_조직34 일하는 문화 개선 워크숍_진행자료_4H.txt","조직문화개선/조직문화개선_조직34 일하는 문화 개선 워크숍_진행자료_4H.txt"
"킥오프","조직14 CA 대상 조직문화 Kick-off 워크숍","DetailAgenda","7H","킥오프_조직14 CA 대상 조직문화 Kick-off 워크숍_DetailAgenda_7H.txt","킥오프/킥오프_조직14 CA 대상 조직문화 Kick-off 워크숍_DetailAgenda_7H.txt"
"킥오프","조직14 CA 대상 조직문화 Kick-off 워크숍","계획서","","킥오프_조직14 CA 대상 조직문화 Kick-off 워크숍_계획서.txt","킥오프/킥오프_조직14 CA 대상 조직문화 Kick-off 워크숍_계획서.txt"
"킥오프","조직14 CA 대상 조직문화 Kick-off 워크숍","진행자료","7H","킥오프_조직14 CA 대상 조직문화 Kick-off 워크숍_진행자료_7H.txt","킥오프/킥오프_조직14 CA 대상 조직문화 Kick-off 워크숍_진행자료_7H.txt"
"핵심가치","조직30 핵심가치 도출 워크숍 인피플 프로젝트03","진행자료","5H","핵심가치_조직30 핵심가치 도출 워크숍 인피플 프로젝트03_진행자료_5H.txt","핵심가치/핵심가치_조직30 핵심가치 도출 워크숍 인피플 프로젝트03_진행자료_5H.txt"
"핵심가치","조직30 핵심가치 도출 워크숍","DetailAgenda","5H","핵심가치_조직30 핵심가치 도출 워크숍_DetailAgenda_5H.txt","핵심가치/핵심가치_조직30 핵심가치 도출 워크숍_DetailAgenda_5H.txt"
"협업","조직05 파트 업무 목표 수립과 파트간 협업 워크숍","진행자료","4H","협업_조직05 파트 업무 목표 수립과 파트간 협업 워크숍_진행자료_4H.txt","협업/협업_조직05 파트 업무 목표 수립과 파트간 협업 워크숍_진행자료_4H.txt"
"협업","조직05 파트별 목표 수립 및 파트간 협업 방안 도출 워크숍","DetailAgenda","4H","협업_조직05 파트별 목표 수립 및 파트간 협업 방안 도출 워크숍_DetailAgenda_4H.txt","협업/협업_조직05 파트별 목표 수립 및 파트간 협업 방안 도출 워크숍_DetailAgenda_4H.txt"
"협업","조직05 파트별 업무 목표 수립 및 파트간 협업 강화 워크숍","계획서","","협업_조직05 파트별 업무 목표 수립 및 파트간 협업 강화 워크숍_계획서.txt","협업/협업_조직05 파트별 업무 목표 수립 및 파트간 협업 강화 워크숍_계획서.txt"
"협업","조직11 프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍","진행자료","5H","협업_조직11 프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍_진행자료_5H.txt","협업/협업_조직11 프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍_진행자료_5H.txt"
"협업","조직11 하반기 프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍","DetailAgenda","5H","협업_조직11 하반기 프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍_DetailAgenda_5H.txt","협업/협업_조직11 하반기 프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍_DetailAgenda_5H.txt"
"협업","조직12 파트 간 협업 촉진 워크숍","계획서","","협업_조직12 파트 간 협업 촉진 워크숍_계획서.txt","협업/협업_조직12 파트 간 협업 촉진 워크숍_계획서.txt"
"협업","조직12 파트 간 협업 촉진 워크숍","진행자료","7H","협업_조직12 파트 간 협업 촉진 워크숍_진행자료_7H.txt","협업/협업_조직12 파트 간 협업 촉진 워크숍_진행자료_7H.txt"
"협업","조직12 협업 촉진 워크숍","DetailAgenda","7H","협업_조직12 협업 촉진 워크숍_DetailAgenda_7H.txt","협업/협업_조직12 협업 촉진 워크숍_DetailAgenda_7H.txt"
"협업","조직16 협업 워크숍","계획서","","협업_조직16 협업 워크숍_계획서.txt","협업/협업_조직16 협업 워크숍_계획서.txt"
"협업","조직16 협업 워크숍","진행자료","6H","협업_조직16 협업 워크숍_진행자료_6H.txt","협업/협업_조직16 협업 워크숍_진행자료_6H.txt"
"협업","조직21 협업 워크숍","DetailAgenda","6H","협업_조직21 협업 워크숍_DetailAgenda_6H.txt","협업/협업_조직21 협업 워크숍_DetailAgenda_6H.txt"
"협업","프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍","계획서","","협업_프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍_계획서.txt","협업/협업_프로젝트01 적기 완료를 위한 유관부서 간 협업안 도출 워크숍_계획서.txt"
